id,type,genres,average_rating,num_votes
0,movie,"Drama,History",5.9,578
1,movie,Horror,4.6,857
2,movie,"Action,Adventure,Animation",7.1,134245
3,short,"Comedy,Drama,Short",5.4,81
4,movie,"Crime,Drama,History",6.8,231556
5,movie,"Horror,Thriller",5.9,2468
6,tvEpisode,Comedy,7.5,140
7,movie,Thriller,5.3,441
8,movie,"Horror,Mystery,Romance",6.4,2991
9,movie,"Crime,Drama,Horror",6.3,54597
10,tvSeries,"Crime,Drama,Thriller",6.8,3748
11,movie,Documentary,7.8,275
12,movie,Sci-Fi,4.5,3574
13,movie,Documentary,6.6,785
14,movie,"Action,Drama,Horror",6.2,27257
15,tvSeries,Comedy,6.8,3940
16,movie,Documentary,5.3,401
17,movie,"Biography,Comedy,Drama",6.8,205
18,movie,"Comedy,Drama,Romance",5.2,5737
19,movie,"Comedy,Romance",5.1,259
20,movie,Documentary,5.2,99
21,movie,Comedy,3.8,308
22,movie,Comedy,5.2,1780
23,movie,Comedy,4.4,4522
24,movie,"Action,Adventure,Sci-Fi",5.5,124550
25,movie,"Drama,Family",4.8,524
26,movie,"Drama,Romance,Sport",6.3,2328
27,movie,"Adventure,Comedy,Romance",5.1,45
28,movie,"Comedy,Drama",5.9,889
29,tvSeries,"Comedy,History,Romance",7.6,1051
30,movie,"Biography,Comedy,Drama",7.6,5536
31,tvSeries,"Comedy,Family",6.2,1002
32,tvEpisode,"Comedy,Family",7.5,42
33,movie,Drama,6.7,39
34,movie,"Drama,Sport",4.7,204
35,tvSeries,"Comedy,Drama,Romance",7.3,162
36,movie,"Crime,Drama,Horror",5.1,4930
37,movie,"Horror,Thriller",6.3,34116
38,movie,"Crime,Documentary,History",8.3,32641
39,video,"Documentary,Short",7.1,179
40,movie,"Action,History,Thriller",6.3,7634
41,movie,Documentary,5.6,146
42,movie,"Action,Drama,Thriller",6.6,126714
43,movie,"Comedy,Drama,Fantasy",6.4,183111
44,movie,Drama,6.7,3023
